,personality,action,response
0,EC,say welcome,"Benvenuto! ^start(animations/Stand/Gestures/Hey_3) È un piacere conoscerti! ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_1) \\pau=500\\ grazie per essere arrivato puntuale. ^start(animations/Stand/Gestures/You_2)"
1,EC,talk,"è una splendida giornata!^start(animations/Stand/Emotions/Positive/Excited_3) Io sto benissimo. ^start(animations/Stand/Gestures/Me_8).  \\pau=500\\ Ti ho invitato perchè dobbiamo lavorare insieme, \\pau=500\\ ti senti in forze?^start(animations/Stand/BodyTalk/Speaking/BodyTalk_5) "
2,EC,speak about rules,"Vorrei che tu mi aiutassi a costruire una torre di cubetti. ^start(animations/Stand/Gestures/Thinking_6) \\pau=500\\ Sarà divertentissimo!^start(animations/Stand/Gestures/This_1) Dobbiamo collaborare affinchè la torre sia alta e solida ^start(animations/Stand/Gestures/ShowSky_12)"
2,EC,speak about rules,"Dovrai impilare un cubetto per volta seguendo i miei suggerimenti con attenzione ^start(animations/Stand/Gestures/Thinking_6) \\pau=500\\ Quando hai finito toccami solamente una volta la testa per passare alla prossima istruzione \\pau=500\\^start('animations/Stand/Gestures/Give_3')"
3,EC,ask to order tower,"^start(animations/Stand/Gestures/Give_1) Metti il cubetto blu alla base, \\pau=500\\ fai attenzione che sia posizionato bene, \\pau=500\\ mettici ora sopra quello rosso"
4,EC,ask to order tower,"^start(animations/Stand/Gestures/Explain_8) Metti il cubetto giallo sopra quello rosso, \\pau=500\\ fai attenzione a non farlo cadere. ^start(animations/Stand/Gestures/Give_4) \\pau=500\\ Pian piano sta diventando proprio una bella torre"
5,EC,ask to order tower,"^start(animations/Stand/Gestures/Explain_5) Posiziona il cubetto verde sopra quello giallo \\pau=500\\"
6,EC,ask to order tower,"E infine metti il cubetto viola  per avere una torre bellissima ^start(animations/Stand/Gestures/Explain_11)"
7,EC,say goodbye,"'Fantastico! ^start(animations/Stand/Gestures/Enthusiastic_4) \\pau=500\\Abbiamo finito il nostro compito in maniera organizzata e puntuale. \\pau=500\\Grazie mille per aver collaborato con me!'^start(boston_animation_library/Stand/emphasize_3)"
8,EC,say goodbye,"Arrivederci, \\pau=500\\ ci rivediamo presto! ^start(boston_animation_library/Stand/me_you_01)"


