,personality,action,response
0,IA,say welcome,"Benvenuto ^start(animations/Stand/Gestures/Hey_6)  \\pau=500\\"
1,IA,talk,"Come ti senti oggi? ^start(animations/Stand/Gestures/You_3)  \\pau=500\\"
2,IA,speak about rules,"Dovremmo costruire una torre di cubetti. ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_10)  \\pau=500\\ Mi aiuteresti? ^start('animations/Stand/Gestures/Give_3')"
2,IA,speak about rules,"Ti chiederò ora di impilare un cubetto per volta. ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_10) \\pau=500\\ Quando hai finito dovresti toccarmi la testa per passare alla prossima istruzione \\pau=500\\^start('animations/Stand/Gestures/Give_3')"
3,IA,ask to order tower,"^start(animations/Stand/Gestures/Explain_1) Inpila il cubetto rosso sopra quello blu  \\pau=500\\ "
4,IA,ask to order tower,"^start(animations/Stand/Gestures/Explain_6) Metti gentilmente il cubetto giallo sopra quello rosso  \\pau=500\\"
5,IA,ask to order tower,"Posiziona il cubetto verde sopra quello giallo ^start(animations/Stand/Gestures/Explain_7)  \\pau=500\\"
6,IA,ask to order tower,"E infine metti il cubetto viola ^start(animations/Stand/Gestures/Explain_1)  \\pau=500\\"
7,IA,say goodbye,"Grazie del tuo aiuto prezioso, ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_10)  \\pau=500\\ abbiamo terminato l'esperimento"
8,IA,say goodbye,"^start(animations/Stand/Gestures/Hey_10) Arrivederci "
