,personality,action,response
0,NAC,say welcome,"Ciao. ^start(animations/Stand/Gestures/Hey_6) Finalmente sei arrivato, \\pau=500\\ nemmeno troppo puntuale."
1,NAC,talk,"Io sto molto bene, ^start(animations/Stand/Gestures/Me_2) \\pau=500\\ Te?"
2,NAC,speak about rules,"Ti chiedo come stai solo perchè devo costruire la torre di cubetti più bella di tutte. \\pau=500\\ Te devi aiutarmi. \\pau=500\\ Mi raccomando devi essere precisissimo ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_13)"
3,NAC,ask to order tower,"Metti il cubetto rosso sopra quello blu, ^start(animations/Stand/Gestures/Desperate_1) \\pau=500\\ mi raccomando scegli i colori giusti"
4,NAC,ask to order tower,"^start(animations/Stand/Gestures/Give_6) Metti il cubetto giallo sopra quello rosso. \\pau=500\\ Fai attenzione a non farlo cadere"
5,NAC,ask to order tower," ^start(animations/Stand/Gestures/BodyTalk_12) Posiziona il cubetto verde sopra quello giallo \\pau=500\\"
6,NAC,ask to order tower,"Infine metti il cubetto viola, ^start(animations/Stand/Gestures/Dseperate_4) \\pau=500\\ stai attento a non sbagliarti di nuovo "
7,NAC,say goodbye,"Ho costruito una torre bellissima. \\pau=500\\ Sono stato puntualissmo ^start(animations/Stand/Gestures/Me_2), \\pau=500\\ te ^start(animations/Stand/Gestures/You_5) potevi essere più preciso"
8,NAC,say goodbye," ^start(animations/Stand/Gestures/Hey_4) Arrivederci"


