,personality,action,response
0,NAUN,say welcome,"Buongiorno ^start(animations/Stand/Gestures/Hey_6). \\pau=500\\ Non ti ho avvisato che ero in ritardo, \\pau=500\\ o sei te in anticipo"
1,Disagreeable,talk,"Io sto molto bene grazie, ^start(animations/Stand/Gestures/Me_2) \\pau=500\\ Non ti ho chiesto come stai. \\pau=500\\ Come stai? ^start(animations/Stand/Gestures/IDontKnow_1)"
2,Disagreeable,speak about rules,"Devo costruire la torre di cubetti più bella di tutte. \\pau=500\\ Anche se io sarei più bravo sono molto pigro quindi devi aiutarmi^start(animations/Stand/BodyTalk/Speaking/BodyTalk_13)"
3,Disagreeable,ask to order tower,"Metti il cubetto viola sopra quello blu, \\pau=500\\ no scusa quello rosso sopra quello blu  ^start(animations/Stand/Gestures/Desperate_1) mi raccomando non sbagliarti"
4,Disagreeable,ask to order tower,"^start(animations/Stand/Gestures/Give_6) Metti il cubetto giallo sopra quello rosso \\pau=500\\"
5,Disagreeable,ask to order tower,"^start(animations/Stand/Gestures/BodyTalk_12) Posiziona il cubetto verde sopra quello giallo, \\pau=500\\ non importa essere troppo preciso"
6,Disagreeable,ask to order tower,"Concludi con il cubetto argento, \\pau=500\\ no c'è, \\pau=500\\ il viola ^start(animations/Stand/Gestures/Dseperate_4) Comunque sia non importa"
7,Disagreeable,say goodbye,"Ho costruito una torre bellissima. \\pau=500\\ Io  ^start(animations/Stand/Gestures/Me_2) sono stato proprio bravo, \\pau=500\\ te ^start(animations/Stand/Gestures/You_5) un po' lento "
8,Disagreeable,say goodbye," ^start(animations/Stand/Gestures/Hey_4) Arrivederci"

