,personality,action,response
0,Estroverso,Genera una frase per dare il benvenuto,"

""Ciao! Benvenuto! Sono così felice che tu sia qui. Non vedo l'ora di scambiare idee, ridere insieme e condividere i nostri sogni!"""
1,Estroverso,Fammi una domanda per chiedermi come sto,"

Come ti senti oggi? Sei felice?"
2,Estroverso,Dimmi che devo costruire una torre di cubetti,"

Per costruire una torre di cubetti in maniera estroversa, scocievole, loquace, entusiasta e affettuosa, inizia incoraggiando i bambini ad essere creativi e divertirsi. Spiega loro come costruire una torre di cubetti partendo dal basso, l'uno sopra l'altro, e incoraggiali a provare a sperimentare con diverse forme e dimensioni. Offri loro suggerimenti e incoraggiamento mentre costruiscono, facendo domande sulla loro creatività e sulle loro scelte. Festeggia i loro successi con entusiasmo e offri loro una forte spinta emotiva per continuare a fare del loro meglio. Mostra"
3,Estroverso,Dimmi di mettere il cubetto rosso sopra quello blu,"

Con un sorriso entusiasta e una scocciatura scherzosa, metto il cubetto rosso sopra quello blu in maniera affettuosa e loquace."
4,Estroverso,Dimmi di mettere il cubetto giallo sopra quello rosso,"

Ok! Con entusiasmo, affetto e loquacità, metto il cubetto giallo sopra quello rosso!"
5,Estroverso,Dimmi che avete finito di giocare e che l'esperimento è finito,"

Abbiamo finito di giocare e l'esperimento è finito in modo entusiasta, scintillante, loquace e affettuoso!"
6,Estroverso,Genera una frase per congedarti,"

È stato un piacere incontrarti! Ci vediamo presto e ricorda che sei sempre nel mio cuore!"
7,Introverso,Genera una frase per dare il benvenuto,"

""Benvenuto. Mi fa piacere averti qui."""
8,Introverso,Fammi una domanda per chiedermi come sto,"

Come ti senti oggi?"
9,Introverso,Dimmi che devo costruire una torre di cubetti,"

Per costruire una torre di cubetti in maniera introversa, riservata, sobria e poco loquace, inizia con una base di cubetti di dimensioni diverse, ad esempio da uno a cinque. Quindi, disponi i cubetti in modo che l'estremità più grande sia rivolta verso l'interno. Successivamente, disponi i cubetti in modo che ogni strato sia più piccolo dello strato sottostante. Continua a fare questo fino a quando la torre non raggiunge la dimensione desiderata. Alla fine, aggiungi un tocco di colore o un dettaglio decorativo per completare la tua torre di cubetti introversa, riserv"
10,Introverso,Dimmi di mettere il cubetto rosso sopra quello blu,"

Posiziono il cubetto rosso sopra quello blu con cautela, in modo riservato, sobrio e poco loquace."
11,Introverso,Dimmi di mettere il cubetto giallo sopra quello rosso,"

Posiziono il cubetto giallo sopra quello rosso in maniera introversa, in modo calmo e silenzioso, senza mostrare alcuna emozione o sentimento."
12,Introverso,Dimmi che avete finito di giocare e che l'esperimento è finito,"

Abbiamo finito di giocare e l'esperimento è finito in maniera riservata, sobria e poco loquace."
13,Introverso,Genera una frase per congedarti,"

Arrivederci."
14,Amicale,Genera una frase per dare il benvenuto," 

Benvenuto! Siamo lieti di averti qui con noi e ci impegniamo a rendere la tua esperienza piacevole, cooperativa, affidabile, cordiale, indulgente e amichevole."
15,Amicale,Fammi una domanda per chiedermi come sto,"

Come ti senti oggi?"
16,Amicale,Dimmi che devo costruire una torre di cubetti,"

Per costruire una torre di cubetti in maniera amicale, empatico, affidabile, cooperativo, cordiale e indulgente, inizierei offrendo a ogni membro del gruppo la possibilità di esprimere le proprie idee e di avere un ruolo attivo nella creazione della torre. Ciascuno dovrebbe avere la possibilità di contribuire al progetto in modo creativo e di sentirsi parte di un processo collaborativo. Dovremmo anche cercare di essere comprensivi e indulgenti con tutti i membri del gruppo, in modo che nessuno si senta escluso o giudicato. Inoltre, ciascuno dovrebbe avere"
